FMISID;LPNN;OBSDATE_UTC;OBSTIME_UTC;DATA_TIME;TS (degC);TS #2/1 -.05m (degC);TS #3/1 -.1m (degC);TS #4/1 -.2m (degC);TS #5/1 -.3m (degC);TS #6/1 -.5m (degC);TS #10/1 -2m (degC);TS #7/1 -.7m (degC);TS #8/1 -1m (degC);TS #9/1 -1.5m (degC);OZONE #37 (DU);OZONE #214 (DU);TA (degC);TG #14/1 (degC);TD (degC);RH (%);PA #2/1 (hPa);PA0_14;PRI avg 10M #4/1 (mm/h);PRA max 10M #4/1 (mm);PRIO avg 10M #7/1 (mm/h);VIS #7/1 (m);WAWA #7/1;WAWA_TXT #7/1_14;SND #5/1 (cm);WS #3/1 22.9m (m/s);WSD avg 10M #3/1 22.9m (m/s);WSP avg 10M #3/1 10m (m/s);WD #3/1 22.9m (deg);WDD avg 10M #3/1 22.9m (deg);WG #3/1 22.9m (m/s);WGD max 10M #3/1 22.9m (m/s);CLHB #6/1 (m);CLHB1_1_14;CLHB2_1_14;CLHB3_1_14;CLHB4_1_14;CLHB5_1_14;CLA acc #6/1 (1/8);CLA1_1_14;CLA2_1_14;CLA3_1_14;CLA4_1_14;CLA5_1_14;CLCBST instant 10M;CBST instant 10M;TCUST instant 10M;GSST instant 10M;GRST instant 10M
101932;7501;19.03.2026;00:00;2026-03-19 00:00:00;;;;;;;;;;;;;3.2;.6;-.6;77;998.3;976.3;0;0;0;20000;0;EiMerkS‰‰;71;5.4;5.4;6.1;208;208;11.1;11.1;3880;3880;6670;;;;3;1;3;0;0;0;0;0;0;0;0
101932;7501;19.03.2026;00:10;2026-03-19 00:10:00;;;;;;;;;;;;;3;.7;-.5;78;998.1;976.1;0;0;0;20000;0;EiMerkS‰‰;71;5.6;5.6;6.3;208;208;8.9;8.9;1170;1170;6580;;;;6;2;6;0;0;0;0;0;0;0;0
101932;7501;19.03.2026;00:20;2026-03-19 00:20:00;;;;;;;;;;;;;3.1;1.3;-.4;78;998.1;976.1;0;0;0;20000;0;EiMerkS‰‰;71;5.1;5.1;5.7;209;209;9.3;9.3;1170;1170;6580;;;;7;5;7;0;0;0;0;0;0;0;0
101932;7501;19.03.2026;00:30;2026-03-19 00:30:00;;;;;;;;;;;;;3.1;1.2;-.4;78;998.1;976.1;0;0;0;20000;0;EiMerkS‰‰;71;5;5;5.6;207;207;8.4;8.4;1130;1130;6460;;;;7;7;7;0;0;0;0;0;0;0;0
101932;7501;19.03.2026;00:40;2026-03-19 00:40:00;;;;;;;;;;;;;3.3;1.4;-.3;77;997.8;975.9;0;0;0;20000;0;EiMerkS‰‰;71;6;6;6.7;206;206;10.7;10.7;1130;1130;;;;;7;7;0;0;0;0;0;0;0;0;0
101932;7501;19.03.2026;00:50;2026-03-19 00:50:00;;;;;;;;;;;;;2.9;1.5;-.4;79;997.7;975.7;0;0;0;20000;0;EiMerkS‰‰;71;5.7;5.7;6.4;205;205;11.3;11.3;1130;1130;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;19.03.2026;01:00;2026-03-19 01:00:00;;;;;;;;;;;;;3.4;1.8;-.3;77;997.8;975.9;0;0;0;20000;0;EiMerkS‰‰;71;5.1;5.1;5.7;210;210;9.3;9.3;1130;1130;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;19.03.2026;01:10;2026-03-19 01:10:00;;;;;;;;;;;;;3.4;1.4;-.3;77;997.7;975.7;0;0;0;20000;0;EiMerkS‰‰;71;5.6;5.6;6.5;218;218;9.6;9.6;1080;1080;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;19.03.2026;01:20;2026-03-19 01:20:00;;;;;;;;;;;;;3.3;1.4;-.3;77;997.4;975.5;0;0;0;20000;0;EiMerkS‰‰;71;5.8;5.8;6.7;218;218;10.4;10.4;1060;1060;;;;;7;7;0;0;0;0;0;0;0;0;0
101932;7501;19.03.2026;01:30;2026-03-19 01:30:00;;;;;;;;;;;;;3.4;1.4;-.3;77;997.2;975.3;0;0;0;20000;0;EiMerkS‰‰;71;5.8;5.8;6.7;220;220;12.1;12.1;1050;1050;;;;;6;6;0;0;0;0;0;0;0;0;0
